FORMULARY_ID,FORMULARY_VERSION,CONTRACT_YEAR,RXCUI,NDC,TIER_LEVEL_VALUE,QUANTITY_LIMIT_YN,QUANTITY_LIMIT_AMOUNT,QUANTITY_LIMIT_DAYS,PRIOR_AUTHORIZATION_YN,STEP_THERAPY_YN,SELECTED_DRUG_YN
00026356,11,2026,1659292,00409508216,2,N, , ,N,N,N
00026356,11,2026,1659294,00409508411,2,N, , ,N,N,N
00026356,11,2026,206423,00409508611,2,N, , ,N,N,N
00026356,11,2026,1807518,00409653102,2,N, , ,N,N,N
00026356,11,2026,835840,00409656220,2,N, , ,Y,N,N
00026356,11,2026,1307415,00456120130,3,Y,30,30,N,N,N
00026356,11,2026,1307421,00456120230,3,Y,30,30,N,N,N
00026356,11,2026,1869699,00456120330,3,Y,30,30,N,N,N
00026356,11,2026,1433250,00456220228,4,N, , ,N,Y,N
00026356,11,2026,1433223,00456221230,4,Y,30,30,N,Y,N
00026356,11,2026,1433229,00456222030,4,Y,30,30,N,Y,N
00026356,11,2026,1433235,00456224030,4,Y,30,30,N,Y,N
00026356,11,2026,1433241,00456228030,4,Y,30,30,N,Y,N
00026356,11,2026,1307309,00469012599,5,Y,120,30,Y,N,N
00026356,11,2026,1608333,00469052002,5,N, , ,Y,N,N
00026356,11,2026,2390646,00469062599,5,Y,120,30,Y,N,N
00026356,11,2026,1431977,00469064773,4,N, , ,Y,N,N
00026356,11,2026,1431982,00469067773,4,N, , ,Y,N,N
00026356,11,2026,1431987,00469068773,5,N, , ,Y,N,N
00026356,11,2026,2390650,00469072560,5,Y,60,30,Y,N,N
00026356,11,2026,2052609,00469123050,4,N, , ,Y,N,N
00026356,11,2026,2052704,00469133050,4,N, , ,Y,N,N
00026356,11,2026,2105817,00469142590,5,Y,90,30,Y,N,N
00026356,11,2026,1300797,00469260130,2,N, , ,N,N,N
00026356,11,2026,1300803,00469260230,2,N, , ,N,N,N
00026356,11,2026,2637147,00469266030,4,Y,30,30,Y,N,N
00026356,11,2026,2623472,00469286035,5,N, , ,Y,N,N
00026356,11,2026,884308,00472016630,2,Y,60,30,N,N,N
00026356,11,2026,992765,00472173803,2,N, , ,N,N,N
00026356,11,2026,1811180,00480012649,2,Y,240,30,N,N,N
00026356,11,2026,402010,00480123208,2,Y,2,28,N,N,N
00026356,11,2026,602912,00480124228,5,Y,28,28,Y,N,N
00026356,11,2026,602910,00480124328,5,Y,28,28,Y,N,N
00026356,11,2026,643712,00480124421,5,Y,28,28,Y,N,N
00026356,11,2026,643720,00480124621,5,Y,28,28,Y,N,N
00026356,11,2026,402011,00480134208,5,Y,2,28,N,N,N
