CONTRACT_ID,PLAN_ID,SEGMENT_ID,TIER,DAYS_SUPPLY,copay_amt_pref_insln,copay_amt_nonpref_insln,copay_amt_mail_pref_insln,copay_amt_mail_nonpref_insln,coin_amt_pref_insln,coin_amt_nonpref_insln,coin_amt_mail_pref_insln,coin_amt_mail_nonpref_insln
H5050,022,000,1,1,0.00,15.00, ,0.00,0.00,0.25, ,0.00
H5050,022,000,1,2,0.00,45.00, ,0.00,0.00,0.25, ,0.00
H5050,022,000,1,4,0.00,30.00, ,0.00,0.00,0.25, ,0.00
H5050,022,000,2,1,7.00,20.00, ,7.00,0.25,0.25, ,0.25
H5050,022,000,2,2,21.00,60.00, ,0.00,0.25,0.25, ,0.00
H5050,022,000,2,4,14.00,40.00, ,0.00,0.25,0.25, ,0.00
H5050,022,000,3,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,022,000,3,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,022,000,3,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
H5050,022,000,4,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,022,000,4,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,022,000,4,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
H5050,022,000,5,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,022,000,5,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,022,000,5,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
H5050,023,000,1,1,2.00,5.00, ,0.00,0.25,0.25, ,0.00
H5050,023,000,1,2,6.00,15.00, ,0.00,0.25,0.25, ,0.00
H5050,023,000,1,4,4.00,10.00, ,0.00,0.25,0.25, ,0.00
H5050,023,000,2,1,10.00,15.00, ,10.00,0.25,0.25, ,0.25
H5050,023,000,2,2,30.00,45.00, ,0.00,0.25,0.25, ,0.00
H5050,023,000,2,4,20.00,30.00, ,0.00,0.25,0.25, ,0.00
H5050,023,000,3,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,023,000,3,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,023,000,3,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
H5050,023,000,4,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,023,000,4,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,023,000,4,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
H5050,023,000,5,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,023,000,5,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,023,000,5,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
H5050,024,000,1,1,2.00,15.00, ,0.00,0.25,0.25, ,0.00
H5050,024,000,1,2,6.00,45.00, ,0.00,0.25,0.25, ,0.00
H5050,024,000,1,4,4.00,30.00, ,0.00,0.25,0.25, ,0.00
H5050,024,000,2,1,10.00,20.00, ,10.00,0.25,0.25, ,0.25
H5050,024,000,2,2,30.00,60.00, ,0.00,0.25,0.25, ,0.00
H5050,024,000,2,4,20.00,40.00, ,0.00,0.25,0.25, ,0.00
H5050,024,000,3,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,024,000,3,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,024,000,3,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
H5050,024,000,4,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,024,000,4,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,024,000,4,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
H5050,024,000,5,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,024,000,5,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,024,000,5,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
H5050,025,000,1,1,2.00,15.00, ,0.00,0.25,0.25, ,0.00
H5050,025,000,1,2,6.00,45.00, ,0.00,0.25,0.25, ,0.00
H5050,025,000,1,4,4.00,30.00, ,0.00,0.25,0.25, ,0.00
H5050,025,000,2,1,10.00,20.00, ,10.00,0.25,0.25, ,0.25
H5050,025,000,2,2,30.00,60.00, ,0.00,0.25,0.25, ,0.00
H5050,025,000,2,4,20.00,40.00, ,0.00,0.25,0.25, ,0.00
H5050,025,000,3,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,025,000,3,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,025,000,3,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
H5050,025,000,4,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,025,000,4,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,025,000,4,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
H5050,025,000,5,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,025,000,5,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,025,000,5,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
H5050,026,000,1,1,2.00,15.00, ,0.00,0.25,0.25, ,0.00
H5050,026,000,1,2,6.00,45.00, ,0.00,0.25,0.25, ,0.00
H5050,026,000,1,4,4.00,30.00, ,0.00,0.25,0.25, ,0.00
H5050,026,000,2,1,10.00,20.00, ,10.00,0.25,0.25, ,0.25
H5050,026,000,2,2,30.00,60.00, ,0.00,0.25,0.25, ,0.00
H5050,026,000,2,4,20.00,40.00, ,0.00,0.25,0.25, ,0.00
H5050,026,000,3,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,026,000,3,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,026,000,3,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
H5050,026,000,4,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,026,000,4,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,026,000,4,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
H5050,026,000,5,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,026,000,5,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,026,000,5,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
H5050,027,000,1,1,2.00,15.00, ,0.00,0.25,0.25, ,0.00
H5050,027,000,1,2,6.00,45.00, ,0.00,0.25,0.25, ,0.00
H5050,027,000,1,4,4.00,30.00, ,0.00,0.25,0.25, ,0.00
H5050,027,000,2,1,10.00,20.00, ,10.00,0.25,0.25, ,0.25
H5050,027,000,2,2,30.00,60.00, ,0.00,0.25,0.25, ,0.00
H5050,027,000,2,4,20.00,40.00, ,0.00,0.25,0.25, ,0.00
H5050,027,000,3,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,027,000,3,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,027,000,3,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
H5050,027,000,4,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,027,000,4,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,027,000,4,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
H5050,027,000,5,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,027,000,5,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,027,000,5,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
H5050,028,000,1,1,3.00,15.00, ,0.00,0.25,0.25, ,0.00
H5050,028,000,1,2,9.00,45.00, ,0.00,0.25,0.25, ,0.00
H5050,028,000,1,4,6.00,30.00, ,0.00,0.25,0.25, ,0.00
H5050,028,000,2,1,10.00,20.00, ,10.00,0.25,0.25, ,0.25
H5050,028,000,2,2,30.00,60.00, ,0.00,0.25,0.25, ,0.00
H5050,028,000,2,4,20.00,40.00, ,0.00,0.25,0.25, ,0.00
H5050,028,000,3,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,028,000,3,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,028,000,3,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
H5050,028,000,4,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,028,000,4,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,028,000,4,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
H5050,028,000,5,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,028,000,5,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,028,000,5,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
H5050,029,000,1,1,3.00,15.00, ,0.00,0.25,0.25, ,0.00
H5050,029,000,1,2,9.00,45.00, ,0.00,0.25,0.25, ,0.00
H5050,029,000,1,4,6.00,30.00, ,0.00,0.25,0.25, ,0.00
H5050,029,000,2,1,10.00,20.00, ,10.00,0.25,0.25, ,0.25
H5050,029,000,2,2,30.00,60.00, ,0.00,0.25,0.25, ,0.00
H5050,029,000,2,4,20.00,40.00, ,0.00,0.25,0.25, ,0.00
H5050,029,000,3,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,029,000,3,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,029,000,3,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
H5050,029,000,4,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,029,000,4,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,029,000,4,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
H5050,029,000,5,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,029,000,5,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,029,000,5,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
H5050,030,000,1,1,3.00,15.00, ,0.00,0.25,0.25, ,0.00
H5050,030,000,1,2,9.00,45.00, ,0.00,0.25,0.25, ,0.00
H5050,030,000,1,4,6.00,30.00, ,0.00,0.25,0.25, ,0.00
H5050,030,000,2,1,10.00,20.00, ,10.00,0.25,0.25, ,0.25
H5050,030,000,2,2,30.00,60.00, ,0.00,0.25,0.25, ,0.00
H5050,030,000,2,4,20.00,40.00, ,0.00,0.25,0.25, ,0.00
H5050,030,000,3,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,030,000,3,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,030,000,3,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
H5050,030,000,4,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,030,000,4,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,030,000,4,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
H5050,030,000,5,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,030,000,5,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,030,000,5,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
H5050,031,000,1,1,3.00,15.00, ,0.00,0.25,0.25, ,0.00
H5050,031,000,1,2,9.00,45.00, ,0.00,0.25,0.25, ,0.00
H5050,031,000,1,4,6.00,30.00, ,0.00,0.25,0.25, ,0.00
H5050,031,000,2,1,10.00,20.00, ,10.00,0.25,0.25, ,0.25
H5050,031,000,2,2,30.00,60.00, ,0.00,0.25,0.25, ,0.00
H5050,031,000,2,4,20.00,40.00, ,0.00,0.25,0.25, ,0.00
H5050,031,000,3,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,031,000,3,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,031,000,3,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
H5050,031,000,4,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,031,000,4,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,031,000,4,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
H5050,031,000,5,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,031,000,5,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,031,000,5,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
H5050,032,000,1,1,3.00,15.00, ,0.00,0.25,0.25, ,0.00
H5050,032,000,1,2,9.00,45.00, ,0.00,0.25,0.25, ,0.00
H5050,032,000,1,4,6.00,30.00, ,0.00,0.25,0.25, ,0.00
H5050,032,000,2,1,10.00,20.00, ,10.00,0.25,0.25, ,0.25
H5050,032,000,2,2,30.00,60.00, ,0.00,0.25,0.25, ,0.00
H5050,032,000,2,4,20.00,40.00, ,0.00,0.25,0.25, ,0.00
H5050,032,000,3,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,032,000,3,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,032,000,3,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
H5050,032,000,4,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,032,000,4,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,032,000,4,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
H5050,032,000,5,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,032,000,5,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,032,000,5,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
S5743,001,000,1,1,0.00,5.00,0.00,5.00,0.25,0.25,0.25,0.25
S5743,001,000,1,2,0.00,15.00,0.00,15.00,0.25,0.25,0.25,0.25
S5743,001,000,1,4,0.00,10.00,0.00,10.00,0.25,0.25,0.25,0.25
S5743,001,000,2,1,1.00,7.00,1.00,7.00,0.25,0.25,0.25,0.25
S5743,001,000,2,2,3.00,21.00,3.00,21.00,0.25,0.25,0.25,0.25
S5743,001,000,2,4,2.00,14.00,2.00,14.00,0.25,0.25,0.25,0.25
S5743,001,000,3,1,35.00,35.00,35.00,35.00,0.22,0.25,0.22,0.25
S5743,001,000,3,2,105.00,105.00,105.00,105.00,0.22,0.25,0.22,0.25
S5743,001,000,3,4,70.00,70.00,70.00,70.00,0.22,0.25,0.22,0.25
S5743,001,000,4,1,35.00,35.00,35.00,35.00,0.25,0.25,0.25,0.25
S5743,001,000,4,2,105.00,105.00,105.00,105.00,0.25,0.25,0.25,0.25
S5743,001,000,4,4,70.00,70.00,70.00,70.00,0.25,0.25,0.25,0.25
